signature	comparison	grp1	grp2	pval	grp1.min	grp1.25	grp1.median	grp1.75	grp1.max	grp1.mean	grp2.min	grp2.25	grp2.median	grp2.75	grp2.max	grp2.mean	grp1.detection	grp2.detection	signif_label
SBS86	IHC-DCC	IHC	DCC	0.360709075445925	0	0	0.00281080466579703	0.019331644867624	0.20877043164264	0.017477787090275	0	0.000140570054298249	0.00431854066634353	0.0252069011368155	0.098821107882125	0.0198336227648664	0.160542168674699	0.1965	
SBS87	IHC-DCC	IHC	DCC	1.36357381379299e-05	0	0.00223205142081967	0.0257584916736578	0.10082261521164	0.509753586221566	0.0692371486848232	0	0.0505389025931998	0.0966252716645059	0.18046710698994	0.467790877606892	0.135648468161216	0.32004016064257	0.536368421052632	***
SBS9	IHC-DCC	IHC	DCC	0.0902641476446146	0	0	0	0.00103347948624523	0.0702289196326728	0.00321655637129775	0	0	0	0.000279423829242183	0.00991467955410812	0.000518295407196573	0.0310642570281125	0.00384210526315789	
SBS96	IHC-DCC	IHC	DCC	0.556661248987486	0	0	0.00123410419741115	0.0122356335150485	0.209445971540338	0.014932339841518	0	6.59445192517188e-05	0.000493933090977857	0.00606058418917033	0.140769943012037	0.0149785430010439	0.110220883534137	0.0936052631578947	
SBS97	IHC-DCC	IHC	DCC	0.625860731555734	0	0	0.00640948296638071	0.0337214924604706	0.175774091838853	0.0224901872541249	0	0.000230254585486865	0.0110567087660949	0.029628441107932	0.101258087041479	0.0206901418468347	0.2384859437751	0.240578947368421	
SBS98	IHC-DCC	IHC	DCC	0.0143540113405692	0	0	0.000280235781899935	0.00851185059157379	0.190867602295437	0.00954390416274369	0	0.000302100383128556	0.00296321540986541	0.0121040952185037	0.0758039264855607	0.0111483981808661	0.0857590361445783	0.110684210526316	*
SBS99	IHC-DCC	IHC	DCC	0.921873223769742	0	5.71582381906185e-05	0.00264148705001808	0.0195584883044867	0.196811597207638	0.0169210708356457	0	0.000367500122889149	0.00139713056940631	0.0131097167737149	0.0940842048669008	0.0123014304822302	0.138236947791165	0.110710526315789	
SBS1	DCC-PHC	DCC	PHC	0.982645894114037	0.0137478887494914	0.0740043414504986	0.190268500277992	0.305707024159757	0.522885578845194	0.208159633618337	0.00391240601535627	0.100262800490587	0.177998246767913	0.308135813987467	0.542566548330188	0.203441945517939	0.84878947368421	0.877465753424658	
SBS10a	DCC-PHC	DCC	PHC		0	0	0	0	0	0	0	0	0	0	0	0	0	0	
SBS10b	DCC-PHC	DCC	PHC	0.482365216361296	0	0	0	0	0	0	0	0	0	0	0.00040335796128725	5.52545152448287e-06	0	8.21917808219178e-05	
SBS10c	DCC-PHC	DCC	PHC	0.852017844731277	0	0	0.00175143058409892	0.00966680520835621	0.108328955075179	0.0131117957066404	0	0	0.00142494147427326	0.0151599506473085	0.212936255391525	0.0198458514597002	0.109184210526316	0.142890410958904	
